"address","amount"
"osmo1004mqvtqkckwzq0dkappks9ngf6ecc7zwk3c94",135857258
"osmo100fjd4fgvavlevh44wqtfl8e46ryyzmh6xca3u",203785887
"osmo100g495apx8tu9qufwl7hj0g7y9f08lnvmj0ss0",271714516
"osmo100qk2f338dh0r6g3tyw9tnvlywnjquyemrgu7g",271714516
"osmo100tk3h9qwulflqu2gj0pgvzfrgtavm5jucy79h",271714516
"osmo100yn05uvyxwzyvf7kjs2w7xzlh7pe707ta9h2p",135857258
"osmo100ywfax95u9c6mndxzuqkq2fdkv7f6pqmsnhke",203785887
"osmo102dlxsm6taszje78k834stmf7gwtfq9kuzrv0f",67928629
"osmo102l2g72vy5fs8lvw7vmctksymc963f2v6cwzzz",67928629
"osmo102mvqa6ntaeg7j0057h8lsjqyqkfz6azw2fy02",67928629
"osmo102qk6946cweqm678a0da7e5vusglvhrn2tsjqj",67928629
"osmo102ruvpv2srmunfffxavttxnhezln6fnce66wae",67928629
"osmo102s8ly420q7hzggeyfydjvqvzfrtm6pvv9gu6f",271714516
"osmo102xhvvh5hljtlv0fwdsxk60yj0hwre4s3lqyw9",67928629
"osmo102xy6r27eeqy0jd78usgkd4z8fmj9p0rr844d7",67928629
"osmo1032uw0gdparakzwzwp2ntfv2v7ht6n6g0hukst",135857258
"osmo1035dfksz7ws74a6qwpsl8n30qumz34wwuy7knm",67928629
"osmo1037w0kq7xwv87sg52qahwswsnreqng7ql0y52e",67928629
"osmo1039ljerp8zvnp447ya3kfkghtmkzr530qe7qzl",67928629
"osmo103cfkzwm2zrtrm88jqk6d8xm0sxd2j4k48ruvc",271714516
"osmo103ct5fpty3nm8xsjpddt95pnh3s5xjyk3ewmse",203785887
"osmo103j5499g5e92w6lye8ugqj7jv9z8ddtphlrd58",67928629
"osmo103j9kd2xnpt30m6wtpcldlpvy3ge8watpux6yj",135857258
"osmo103verdnv4pzztty50ua7gs5gj25l2gwu3jq0h2",203785887
"osmo103zaez0f7uxqqk7ejk2x5ts35w6aeyzxxt6llh",67928629
"osmo1040yzzm5pv2f28n9s5hlhhykndumz870wmff8n",203785887
"osmo10487rxhpghzhyudpnuh585hn4s54ruzspa990r",271714516
"osmo1049sudyrjuml0tsqjx2t4d3lvptkngsh4w5466",135857258
"osmo1049ye8lese3s2a6rr2quh3des6pynmqpd737k0",135857258
"osmo104algnpncvwvsrm24ds2v2uk34gepg07qj3jkn",271714516
"osmo104c73yza5366smu3hgwwh0adtdvngfgvwmtm8y",203785887
"osmo104fq56d9attl4m709h7mgx9lwqklnh05vh6ru5",271714516
"osmo104mh7qdutwx2zaf83mynjm8kklpj62cw9uvfra",135857258
"osmo104ptlr75z58apcy9fhxnzhya8nk0smw8a3g0qq",271714516
"osmo104qv6ew9ealp88n05ga2ke29umuf8sv9stku4l",135857258
"osmo104th8e5c9szehvqhhpm0w437e4wg69y086klcz",271714516
"osmo104yd5hfaf7j2awr784nvv2le20mwdqd45ec4p8",271714516
"osmo1059vss4rq2sqag52q47pszgdagdpaskt5wxjkg",135857258
"osmo105e4n2f2gr92x8pxvmhxj5v7e2m9j08zelxdnq",271714516
"osmo105rf9sxvzqrf8sce5rktffgd2t960uy0rpwxza",135857258
"osmo105skwzet9nylwg7rpasq7sjhx27yqsqcxcmrz7",67928629
"osmo105sy805a7qwtyrkk9t48qfjpdcg4qjmv5s4mj5",67928629
"osmo105ukf2c7ud29n0ryrwfd28rg6yya0u90l9jjpf",67928629
"osmo105x4d63rvlg7uu6g9t3qaj9kggpsvs8wt5x37w",135857258
"osmo105zfeugf9n39gk2xnunknqzdqyxlarh74pc8s3",67928629
"osmo1060t4vlql9ngh4jj4h67nsyu4lmljyd8pesy5q",67928629
"osmo1063vcpxqdv4f5wnsjauw6qtrcvfmv8jdvkhvj2",271714516
"osmo1066aprw584yncwdadhqay9ptler9yjny2na6ye",271714516
"osmo106a5lkwa25l9n5nvw2sma7ue7zyr0h24dncad0",67928629
"osmo106h5juhmegsnr4sr5ukpg23ha3z7m4z6rmy8u2",203785887
"osmo106mshf5nce6uzs4j0eurnsycs4jje5nt8dymr7",135857258
"osmo106v0dgp92mwgerjph7aw84wwkutzuq4znz4d69",271714516
"osmo106ymhxaq5xkc0hv5txmg0rx8tnx9xy7rq39lc8",67928629
"osmo1070nwe2h5u9h6dwt73tl305f0yd25hp80tfmdd",271714516
"osmo1074c8an6aps829sx9h36m674ky4d8jlu6zugt6",67928629
"osmo1074h6wmfgw9ynsxuk4g4yma7uvt42r9800grxg",135857258
"osmo1077a24t55xh4vgn9s04j9u794z7qkf5ml0wsrg",67928629
"osmo10792dvegqf7rwcmh60z34tqs90gjf7qlrcuxfc",203785887
"osmo107ayrps98dzjsrkgp53gyjva3krfpm3wkg0kan",67928629
"osmo107dxhk3m0a03z3nhnq2phqnxg6cljlnhde5jwh",135857258
"osmo107e4c56a7cjch7t506rn8c6qm8e7vl7g40kh78",67928629
"osmo107e4u22z0lzek6yjhh9rkwgjlzk9r3dqtae5ch",271714516
"osmo107ju08rdjt47mxs7kw96tr58z8pwwrrqvvtylm",271714516
"osmo107lzvcj0qyl8rhmh3j553pg2ugws5e8n4a3ypj",67928629
"osmo107m09gnrav7sfk8awf0fdnd5dn4fdlau5gf7re",271714516
"osmo107n5mm03l4h6vzvxl5a8c0ly5gucekhtck3vev",271714516
"osmo107nsjqu8xf9wck3mlsd6jnjagd6spt5r65rlew",135857258
"osmo107r0ylq95jdantsxr2v376s3mu0ufh6g5fh0j7",135857258
"osmo107t3km9mthl93axtpqfsfavkguk7333tqqcj9q",67928629
"osmo107tn5s5nsznzvczjf76qhsq2fwwe6j9zjlrljp",135857258
"osmo107tugrc9a5ylqreat8fq83hj6fv45dp42hyuxj",67928629
"osmo107y0tfr99cak25eja4sjaaghd4tlmj5r8xmr6s",67928629
"osmo10893eq4mmxmjstyanhx33x0ae89gqf8mdy2w2x",135857258
"osmo108d2mac4uuse6r4gqaxx0aqpgtgddt7s3z4s0f",135857258
"osmo108m4qkx5k26st6xex0d9620tw4fgdwrmr7pcfn",271714516
"osmo108n9vdf7glq2avpp0p8j2ej86ww3tedn5cacat",67928629
"osmo108q9w753yg6p6m29as6d7plwzvqpqu3r4mwkys",67928629
"osmo108qgn3w3rfp76ss20u3rmcky4m52pgaraeucrh",203785887
"osmo108s66cdux25lfgylvehpd776zmslsr46xgaa3g",271714516
"osmo108sfc8l0krf0cscv29dk658qqruj6qd08kemhr",203785887
"osmo108x30u56zsmy977rc7f8ggg480uma5xtgl68t2",271714516
"osmo1094p4mkxwyf9s8j33revjzc2ggt2mshpl4wwtv",67928629
"osmo1096t2cyncw8mx0fqhmahn99sx8rxhyqkhvxhp2",203785887
"osmo1098nha0z7d43k2uh2as7a3ywx2q3w8wjsvtz2s",203785887
"osmo109as32auw8xdurf72gclyk26ulml297km02tcy",67928629
"osmo109sj2varvep552c075yzx77cgnsqll9fyrf8rw",271714516
"osmo109wn0m50gscxndn7t3v0cpa5cyyzd6g7tlel3a",135857258
"osmo109xq5v7sw4enwp4pkj8qahqa0uc8xel76qwa4h",271714516
"osmo109yr9262mxdcxa2684nf7k7g2qa2d45fvkxc7p",67928629
"osmo10a98ngl0c4kpr8nwjyed23krvx2cep72he8sce",67928629
"osmo10ad0vv8faq6q76a2xkz9xaqm3gawuxegh70gpx",271714516
"osmo10agesr2cmms50mqkcn4erh8d4hucupmu7ytr26",135857258
"osmo10ak5sk2985qfsy6tystahusuu9x6a7wme6y5ff",135857258
"osmo10alqt85a32lfn0xcwy8j7v5tat6erxn8wrccj3",135857258
"osmo10asvqus2p27j0csexkhzudkymxzdktlvwqxdaa",67928629
"osmo10axgtvw5nt0f66m3taedh4vh5h43pgnvad2r35",271714516
"osmo10ayaypygpvltygpgfkaspnet9xwxq6zmcy7z4s",67928629
"osmo10c79g2j55ht3qauq96x4qqgewdg8hdhqcpmh6d",67928629
"osmo10cg5m6dzuxcaf3gdqqxm4c6pvzslfd79cjpa60",67928629
"osmo10cqm8myf6ddqpylh4hj48ehvyk7rczls045mcj",135857258
"osmo10cqu7a6jyh86a595d30p2k0wpdnl49stzw6z29",67928629
"osmo10ctf2y7r9vtu5rv428lzv906wlszr9ek2xqvcn",67928629
"osmo10d6x5ug87q0eddp5a5cxj7qdpwtd940zkygawy",135857258
"osmo10d77qqt2evq6xkr5mq87f0jsuufsgcqu76rqjp",135857258
"osmo10dev2kd28hhartx4e7chye54p66uvq6kd8elkk",135857258
"osmo10dpk5y373ttzaus2qecdt4ltpfc2jh025dhgz2",67928629
"osmo10dsmyqeddjcgpqdkpw806vsmfdm8k4gyt0l0hc",203785887
"osmo10dvaa7x4fts84zmsll9q7lcd7mzuxlv70k5cuu",67928629
"osmo10dzm9xule0efu60lprzwhg2amp8aqzm5n955ta",203785887
"osmo10e42fc8a3zkelp6pf22kc0x94rukx5c5vzs64r",67928629
"osmo10epzl04lu4tnpvjzhledr26rl4zq9rgsv4u7n5",271714516
"osmo10ev2mztepxv0vhe5v8yn5nnj9k9n0vg2fprpg0",135857258
"osmo10ey9natzdkk27wjuy8ajnnu7qzeds66muyrd8g",67928629
"osmo10fjsqjdwlu75yfns2twym7lch2tmzlc6703vr4",67928629
"osmo10fq6gzhgfsklu8d2eveea8uuusl3ms6caghg72",203785887
"osmo10g3hzsme335q8r2g3p4y3x7s2pv587fwmpmsk7",67928629
"osmo10ga3jr3uyg5a8vwestwrj3a4728tgexyg7ll5d",271714516
"osmo10geas4yl69vsfxjvmknpene75gzm77hk086nqm",203785887
"osmo10gj5mnkq4ljpkkrrxh9f7m58un772adwzk4985",203785887
"osmo10gj89ywz86vwzjtpu9k64ug22q80vl7x74a3n8",67928629
"osmo10gjtz74hz73ew6j8nk3zx22xt5wz5lv0vqapsx",271714516
"osmo10gk4v3lt3643jd7e2msdvjudpfurdeg78wucz3",271714516
"osmo10gvfcd4l577f5x0qvmlexwg5q6xge4dk89x0x3",271714516
"osmo10gvgsutdqd7lxwzsjm2g3uz4e3stduxrlp6gk3",135857258
"osmo10gwwfj39ewa853032k5cwmvwkw22wmeta30fe6",271714516
"osmo10gxzy3hfwkhzzuhvfpmm7k2ktcqcuqkyg8xkk5",135857258
"osmo10h2he8xrlkte35kwysvaj9jjq8gr5t58872gk0",67928629
"osmo10h4m7ju6lckyxv84dghqz4h6nfcxmtf8v6c64y",67928629
"osmo10h8qcursghmc94h3fgm0edyjrptupuzgrky6kd",271714516
"osmo10haed6n5nwfcwyj6f3mrgdhgl68quh2rkhtrr0",67928629
"osmo10hah67ngcnpthefr9pgtvyeh4cgp8dq3k0yh48",67928629
"osmo10hcnhrh2lka0svrpt686xumay28t8y69fquh4q",203785887
"osmo10hda0pn95xtzp3rvnda275hey39txw3tcpfe5w",135857258
"osmo10hdd0hz54lcpxs6gl8nftp42ftjd4t2w6ufsf5",67928629
"osmo10hfp70p9nucq7grtmasskyut7qt9ezp0645h02",271714516
"osmo10hjmpy2zf23kqedwfs9rv4qxadk024fctj27c0",67928629
"osmo10hjnepwdgfrlxpqcnsf782re9ra7dmrss2rqn5",135857258
"osmo10hqp7hx8nnx6zg8w3np643hu93kgspum0p64um",271714516
"osmo10hsqse4xer6qudldw4n60v8zxlraktzv7d3hr4",203785887
"osmo10hwsp2dm2kzuv0v24y3hey5mxmgyaeqdth2t9c",135857258
"osmo10j4f9rlk7ytt9xznhr76zzzfj6g7ckpp7fe894",271714516
"osmo10j729nllgmx366gjf5wxmqdh0xxqnm6cyc3zjc",271714516
"osmo10jcd94dw9w2txv3f8xgd3cslz5s3cqu0zv0l0l",135857258
"osmo10jmu5y6s2npx4zv4ye6r8w0j4mx69gjzqw52mk",135857258
"osmo10jtgzsn642rl63asluk8nzyqgp57afv4g9jl3g",67928629
"osmo10jvwfyv02ct5cne3j8qkdz6j3p99t4jcaxy3wk",203785887
