address,amount
osmo1000ya26q2cmh399q4c5aaacd9lmmdqp9zef0gj,7896571134
osmo100266xcz9cwdufdcqu0vm4wha4zxzgqelcv8jn,4136000000
osmo1003y3agm37n5pqf9zmqe0agucxsfy043varvdk,206001092
osmo1004mqvtqkckwzq0dkappks9ngf6ecc7zwk3c94,12437000000
osmo1007xf4mnknq48ug89fm0fm93xcd799uv9s04ss,1054000000
osmo1008nmupexutrxhzzgjn69d7m6wznkw5skdd9c4,87198370
osmo1008vr4pjknkar67n0hdepufa96axwlwprz8qe0,100000000
osmo1008yct4j5dg5pz2qfnvcafglppxvz739mv9j26,100000000
osmo10095l3hc6hggcjwv97pge2vg8s9jlp282tr3ep,103528616
osmo100a325n9ct4m2egvctrh48zheg2hwl5lr26rzy,5271000000
osmo100c867fxeu5dq6ht0flc7vf0rl65sfm7kfgmqc,345604700
osmo100cj4lj2alfqcytqm99cy79t375tp4wzr92ghc,116210741
osmo100ekuq4fv6u33lgjvmm5xeg747he6pku8xleg3,201000000
osmo100ex4dmfhgx04gdr4arle8kpxrka90wvnqtzrz,57470000
osmo100fjd4fgvavlevh44wqtfl8e46ryyzmh6xca3u,652000000
osmo100g495apx8tu9qufwl7hj0g7y9f08lnvmj0ss0,224124637
osmo100hfctvhmreclqxa4ake8r85r2q7qt62gq0e34,1388000000
osmo100qk2f338dh0r6g3tyw9tnvlywnjquyemrgu7g,101000000
osmo100rhxclqasy6vnrcervgh99alx5xw7lkp6xvz8,254000000
osmo100rkapj3ps8pjgnz994427j2zz4tqjalynn2k8,206732539
osmo100tjtxyu3pxyca8hcdhegw0ljxvljz9zltg6y4,2183000000
osmo100tk3h9qwulflqu2gj0pgvzfrgtavm5jucy79h,150624071
osmo100tp7gtrqkghevww4486c8dv90tflt8e6qadh0,85500000
osmo100uf9zht6vwwjtav522sv3whdhfqma0nyxj3wr,240000000
osmo100w4dp4tflc3eyfxqxxmwgrwpnspspdmdpa06t,4657235443
osmo100y2dgjmdr3vs4qpv5jgqvcyxtwlpl0akxrs2j,215550284
osmo100yc222keyxw74tgd6n9cataw6qu7xd4yeqerl,110000000
osmo100yn05uvyxwzyvf7kjs2w7xzlh7pe707ta9h2p,62000000
osmo100ywfax95u9c6mndxzuqkq2fdkv7f6pqmsnhke,101450370
osmo100yyrtgttadqz97kefzvh3af8r46nctn86ds8x,119393559
osmo10209uf69qew27qyaq4gukwr80czpv3ty7npz32,736551327
osmo1022h7ln2077knvmyq0xk43n44sffnfrngpmg9w,50192504
osmo1024gza63mzwkzcg85tgjhwjdxkzy3hk3xsqypt,656850291
osmo1024uzh99xharpytf2qhwvl6aqt2pzc3keq55m4,122293496
osmo1027nd4a9dyl55s3fchtuq8dzfzxyrjd35pq08a,145845900
osmo102a0laj238awn39uu2r6y23k0dz6y37cvakdnj,3598662721
osmo102a8tzfppfhjfw3eqr4x8pensa8l5ulwz8my66,1142052583
osmo102c8ft3urvk97lk9nv8gqzks0gxr0whf2n072q,228772488
osmo102dlxsm6taszje78k834stmf7gwtfq9kuzrv0f,729048138
