"voter","count(voter)"
"osmo1002ewezkkslxsv5qnn07z3f45zxw4kc9wz0q3u",1
"osmo1004mqvtqkckwzq0dkappks9ngf6ecc7zwk3c94",2
"osmo1004q222762c6gc2kang25qcs0k6aeth55p6lzn",4
"osmo1006py723hlxe6k82y9wkh94gy2c8cjdgqsfwgf",1
"osmo10077290mlgkfpmx5a0fy8dmhaxj5plawt788q5",1
"osmo10077rlk3r3cx67j6jm7nl0sxcqpk23fqhhudf5",2
"osmo100c69uj4l7y5jrg6h6k4fm7dvf2hgknewedukq",1
"osmo100d70t6pqcgt3xywe9u5u73gxwe3zzqpkcunlf",2
"osmo100dwduk9s8xrue5u6c0vwyrg98z4eeft63ejun",1
"osmo100f02d0w4jq9898h52m2t2cvyl2wgdfs995zsa",2
"osmo100fjd4fgvavlevh44wqtfl8e46ryyzmh6xca3u",3
"osmo100fls847mwga2p88q0q95fuh6t3a26ddqmj7xt",2
"osmo100g495apx8tu9qufwl7hj0g7y9f08lnvmj0ss0",4
"osmo100g9v4tynau3td9ef0ppl2d6tup99y3gfpxtlh",2
"osmo100jvtv7wrgngwnc8qw32at27hzgsjyhum0rlrj",1
"osmo100khlwdhxu3empgu7c0cxhkej3nqd3t3na0rkc",3
"osmo100kqxj62jt8nh5tkhy369a94l5ulnje3m8sslc",2
"osmo100ky3rusx5yztrgnswcrm83lgy3rwmxf3hrwmq",1
"osmo100l4r0t0dkptu5yq67yq2a45swr22s7n6wnr7a",1
"osmo100lngazcuyx9s7retesv34e447jadtg97x2gaa",1
"osmo100mdz8krucr29c58xau0ykvnywhq4622c2yydx",4
"osmo100n0c5t6yn4gkj8u0u2d4ac3nmexgn0pxwdsc8",2
"osmo100n668knc3xdgth849dtzgfqsxrsup40j9xfg7",3
"osmo100qk2f338dh0r6g3tyw9tnvlywnjquyemrgu7g",4
"osmo100rru09j8r9c02vx978jyrq29s20tjnxf3kwn8",2
"osmo100tk3h9qwulflqu2gj0pgvzfrgtavm5jucy79h",4
"osmo100uryzha9288mnh2uzhcy6s9dzthr74t44hh90",2
"osmo100vetd3ard59wnw6cu8la9gd5z0et75srvpajd",1
"osmo100vpdlwt605p7rewfddx2kr9gxd35wcjydghv2",1
"osmo100vs2f4dk92323r09kwdzqrtmnnjf2p2s6n47f",3
"osmo100x6g7wzkpgapjjwjhpj93n62y3vnjxam6w9ug",3
"osmo100xc9h8fdt7mws2d08had90mhrvnr0ht7rw0yl",1
"osmo100yn05uvyxwzyvf7kjs2w7xzlh7pe707ta9h2p",2
"osmo100ywfax95u9c6mndxzuqkq2fdkv7f6pqmsnhke",3
"osmo1020tw8yw4xwps7d6k50anw87rykx3tm686uga8",3
"osmo10235gmyqdpgxnhzmpfy6g2wus3q8yl3u6qjm7e",1
"osmo1027h4zykhjwed8u25dkxdjcvdd6wp4e2tzszjl",1
"osmo1028g4xhdfzw2hztm806rakr4t7y23jky9tg5za",2
"osmo10292xrxkm7hf2lree7mv679nrvuf8seted3sdd",2
"osmo102a66la77ruquqej65d66axaleln2wff2ggzgx",1
"osmo102ayvgml4aajtysywqpqhufxt5x4lpr0rmqv3q",1
"osmo102dlxsm6taszje78k834stmf7gwtfq9kuzrv0f",1
"osmo102f7m7ce72hxnnu74ggwfx0fgrs26ksz77z0xn",1
