"voter","count"
"osmo1004mqvtqkckwzq0dkappks9ngf6ecc7zwk3c94",2
"osmo100fjd4fgvavlevh44wqtfl8e46ryyzmh6xca3u",3
"osmo100g495apx8tu9qufwl7hj0g7y9f08lnvmj0ss0",4
"osmo100qk2f338dh0r6g3tyw9tnvlywnjquyemrgu7g",4
"osmo100tk3h9qwulflqu2gj0pgvzfrgtavm5jucy79h",4
"osmo100yn05uvyxwzyvf7kjs2w7xzlh7pe707ta9h2p",2
"osmo100ywfax95u9c6mndxzuqkq2fdkv7f6pqmsnhke",3
"osmo102dlxsm6taszje78k834stmf7gwtfq9kuzrv0f",1
"osmo102l2g72vy5fs8lvw7vmctksymc963f2v6cwzzz",1
"osmo102mvqa6ntaeg7j0057h8lsjqyqkfz6azw2fy02",1
"osmo102qk6946cweqm678a0da7e5vusglvhrn2tsjqj",1
"osmo102ruvpv2srmunfffxavttxnhezln6fnce66wae",1
"osmo102s8ly420q7hzggeyfydjvqvzfrtm6pvv9gu6f",4
"osmo102xhvvh5hljtlv0fwdsxk60yj0hwre4s3lqyw9",1
"osmo102xy6r27eeqy0jd78usgkd4z8fmj9p0rr844d7",1
"osmo1032uw0gdparakzwzwp2ntfv2v7ht6n6g0hukst",2
"osmo1035dfksz7ws74a6qwpsl8n30qumz34wwuy7knm",1
"osmo1037w0kq7xwv87sg52qahwswsnreqng7ql0y52e",1
"osmo1039ljerp8zvnp447ya3kfkghtmkzr530qe7qzl",1
"osmo103cfkzwm2zrtrm88jqk6d8xm0sxd2j4k48ruvc",4
"osmo103ct5fpty3nm8xsjpddt95pnh3s5xjyk3ewmse",3
"osmo103j5499g5e92w6lye8ugqj7jv9z8ddtphlrd58",1
"osmo103j9kd2xnpt30m6wtpcldlpvy3ge8watpux6yj",2
"osmo103verdnv4pzztty50ua7gs5gj25l2gwu3jq0h2",3
"osmo103zaez0f7uxqqk7ejk2x5ts35w6aeyzxxt6llh",1
"osmo1040yzzm5pv2f28n9s5hlhhykndumz870wmff8n",3
"osmo10487rxhpghzhyudpnuh585hn4s54ruzspa990r",4
"osmo1049sudyrjuml0tsqjx2t4d3lvptkngsh4w5466",2
"osmo1049ye8lese3s2a6rr2quh3des6pynmqpd737k0",2
"osmo104algnpncvwvsrm24ds2v2uk34gepg07qj3jkn",4
"osmo104c73yza5366smu3hgwwh0adtdvngfgvwmtm8y",3
"osmo104fq56d9attl4m709h7mgx9lwqklnh05vh6ru5",4
"osmo104mh7qdutwx2zaf83mynjm8kklpj62cw9uvfra",2
"osmo104ptlr75z58apcy9fhxnzhya8nk0smw8a3g0qq",4
